second,speed,latitude,longitude,fix_quality,altitude,height,gas_level,gear,mileage,oil,tire_1,tire_2,tire_3,tire_4
1,0,32.715738,-117.1610838,8,545.4,46.9,15,P,10002,45,1,1,1,1
2,0,32.715739,-117.1610839,8,545.4,46.9,15,P,10002,45,1,1,1,1
3,5,32.71574,-117.161084,8,545.4,46.9,15,D,10002,45,1,1,1,1
4,15,32.715741,-117.1610841,8,545.4,46.9,15,D,10002,45,1,1,1,1
5,20,32.715742,-117.1610842,8,545.4,46.9,15,D,10002,45,1,1,1,1
6,22,32.715743,-117.1610843,8,545.4,46.9,15,D,10002,45,1,1,1,1
7,27,32.715744,-117.1610844,8,545.4,46.9,15,D,10002,45,1,1,1,1
8,37,32.715745,-117.1610845,8,545.4,46.9,15,D,10002,45,1,1,1,1
9,59,32.715746,-117.1610846,8,545.4,46.9,15,D,10002,45,1,1,1,1
10,70,32.715747,-117.1610847,8,545.4,46.9,15,D,10002,45,1,1,1,1
11,70,32.715748,-117.1610848,8,545.4,46.9,15,D,10002,45,1,1,1,1
12,70,32.715749,-117.1610849,8,545.4,46.9,15,D,10002,45,1,1,1,1
13,70,32.71575,-117.161085,8,545.4,46.9,15,D,10002,45,1,1,1,1
14,70,32.715751,-117.1610851,8,545.4,46.9,15,D,10002,45,1,1,1,1
15,71,32.715752,-117.1610852,8,545.4,46.9,15,D,10002,45,1,1,1,1
16,71,32.715753,-117.1610853,8,545.4,46.9,15,D,10002,45,1,1,1,1
17,69,32.715754,-117.1610854,8,545.4,46.9,15,D,10002,45,1,1,1,1
18,70,32.715755,-117.1610855,8,545.4,46.9,15,D,10002,45,1,1,1,1
19,70,32.715756,-117.1610856,8,545.4,46.9,15,D,10002,45,1,1,1,1
20,70,32.715757,-117.1610857,8,545.4,46.9,15,D,10002,45,1,1,1,1
21,70,32.715758,-117.1610858,8,545.4,46.9,15,D,10002,45,1,1,1,1
22,70,32.715759,-117.1610859,8,545.4,46.9,15,D,10002,45,1,1,1,1
23,70,32.71576,-117.161086,8,545.4,46.9,15,D,10002,45,1,1,1,1
24,70,32.715761,-117.1610861,8,545.4,46.9,15,D,10002,45,1,1,1,1
25,70,32.715762,-117.1610862,8,545.4,46.9,15,D,10002,45,1,1,1,1
26,70,32.715763,-117.1610863,8,545.4,46.9,15,D,10002,45,1,1,1,1
27,70,32.715764,-117.1610864,8,545.4,46.9,15,D,10002,45,1,1,1,1
28,70,32.715765,-117.1610865,8,545.4,46.9,15,D,10002,45,1,1,1,1
29,70,32.715766,-117.1610866,8,545.4,46.9,15,D,10002,45,1,1,1,1
30,70,32.715767,-117.1610867,8,545.4,46.9,15,D,10002,45,1,1,1,1
31,71,32.715768,-117.1610868,8,545.4,46.9,15,D,10002,45,1,1,1,1
32,70,32.715769,-117.1610869,8,545.4,46.9,15,D,10002,45,1,1,1,1
33,70,32.71577,-117.161087,8,545.4,46.9,15,D,10002,45,1,1,1,1
34,70,32.715771,-117.1610871,8,545.4,46.9,15,D,10002,45,1,1,1,1
35,71,32.715772,-117.1610872,8,545.4,46.9,15,D,10002,45,1,1,1,1
36,70,32.715773,-117.1610873,8,545.4,46.9,15,D,10002,45,1,1,1,1
37,70,32.715774,-117.1610874,8,545.4,46.9,15,D,10002,45,1,1,1,1
38,70,32.715775,-117.1610875,8,545.4,46.9,15,D,10002,45,1,1,1,1
39,71,32.715776,-117.1610876,8,545.4,46.9,15,D,10002,45,1,1,1,1
40,70,32.715777,-117.1610877,8,545.4,46.9,15,D,10002,45,1,1,1,1
41,70,32.715778,-117.1610878,8,545.4,46.9,11,D,10002,45,1,1,1,1
42,70,32.715779,-117.1610879,8,545.4,46.9,11,D,10003,45,1,1,1,1
43,69,32.71578,-117.161088,8,545.4,46.9,11,D,10003,45,1,1,1,1
44,70,32.715781,-117.1610881,8,545.4,46.9,11,D,10003,45,1,1,1,1
45,70,32.715782,-117.1610882,8,545.4,46.9,11,D,10003,45,1,1,1,1
46,70,32.715783,-117.1610883,8,545.4,46.9,11,D,10003,45,1,1,1,1
47,70,32.715784,-117.1610884,8,545.4,46.9,11,D,10003,45,1,1,1,1
48,70,32.715785,-117.1610885,8,545.4,46.9,11,D,10003,45,1,1,1,1
49,70,32.715786,-117.1610886,8,545.4,46.9,11,D,10003,45,1,1,1,1
50,70,32.715787,-117.1610887,8,545.4,46.9,11,D,10003,45,1,1,1,1
51,70,32.715788,-117.1610888,8,545.4,46.9,11,D,10003,45,1,1,1,1
52,70,32.715789,-117.1610889,8,545.4,46.9,11,D,10003,45,1,1,1,1
53,61,32.71579,-117.161089,8,545.4,46.9,11,D,10003,45,1,1,1,1
54,45,32.715791,-117.1610891,8,545.4,46.9,11,D,10003,45,1,1,1,1
55,30,32.715792,-117.1610892,8,545.4,46.9,11,D,10003,45,1,1,1,1
56,25,32.715793,-117.1610893,8,545.4,46.9,11,D,10003,45,1,1,1,1
57,10,32.715794,-117.1610894,8,545.4,46.9,11,D,10003,45,1,1,1,1
58,5,32.715795,-117.1610895,8,545.4,46.9,11,D,10003,45,1,1,1,1
59,0,32.715796,-117.1610896,8,545.4,46.9,11,D,10003,45,1,1,1,1
60,0,32.715797,-117.1610897,8,545.4,46.9,11,P,10003,45,1,1,1,1
